date,lat,latd,long,longd,depth,mag
2017-02-19 17:32:00,35.94,S,73.56,W,15.0,3.8
2017-02-19 17:17:00,42.42,N,1.37,E,2.0,2.8
2017-02-19 17:12:00,38.51,N,26.38,E,12.0,2.2
2017-02-19 17:07:00,19.41,S,177.4,W,571.0,4.5
2017-02-19 16:40:00,43.07,N,13.05,E,7.0,2.6
2017-02-19 16:20:00,10.66,S,116.0,E,40.0,4.6
2017-02-19 16:16:00,40.1,N,19.94,E,4.0,2.4
2017-02-19 16:14:00,39.56,N,26.13,E,6.0,2.1
2017-02-19 15:49:00,37.47,S,74.1,W,40.0,4.5
2017-02-19 15:39:00,7.92,S,107.9,E,80.0,4.7
2017-02-19 15:31:00,5.83,N,123.9,E,543.0,4.4
2017-02-19 15:28:00,41.69,N,21.3,E,0.0,2.1
2017-02-19 15:20:00,38.47,N,44.29,E,5.0,2.5
2017-02-19 15:14:00,6.5,S,104.5,E,75.0,5.0
2017-02-19 15:01:00,7.17,N,76.03,W,0.0,3.7
2017-02-19 14:59:00,37.82,N,29.15,E,10.0,2.1
2017-02-19 13:38:00,38.84,N,122.7,W,2.0,2.1
2017-02-19 12:59:00,19.19,N,155.4,W,45.0,2.2
2017-02-19 12:44:00,19.35,N,64.4,W,67.0,3.0
2017-02-19 12:18:00,42.25,N,1.3,E,10.0,2.7
2017-02-19 12:18:00,43.07,N,13.05,E,9.0,2.8
2017-02-19 12:00:00,39.57,N,26.1,E,2.0,2.0
2017-02-19 11:43:00,39.56,N,26.18,E,3.0,2.0
2017-02-19 11:35:00,9.12,S,116.6,E,10.0,4.5
2017-02-19 11:24:00,39.09,N,37.36,E,10.0,2.2
2017-02-19 11:05:00,42.33,N,1.34,E,2.0,3.2
2017-02-19 11:02:00,15.76,S,179.5,W,10.0,4.9
2017-02-19 10:42:00,43.53,N,43.64,E,10.0,3.0
2017-02-19 10:42:00,13.8,N,147.5,E,10.0,5.1
2017-02-19 10:32:00,42.58,N,13.27,E,11.0,3.0
2017-02-19 10:32:00,39.52,N,26.09,E,8.0,2.1
2017-02-19 10:28:00,15.54,N,96.53,W,17.0,4.0
2017-02-19 10:25:00,15.47,N,95.66,W,20.0,3.7
2017-02-19 10:19:00,39.56,N,26.05,E,2.0,2.6
2017-02-19 10:13:00,37.6,S,73.75,W,31.0,3.8
2017-02-19 09:55:00,39.55,N,26.06,E,5.0,2.0
2017-02-19 09:49:00,39.53,N,26.15,E,5.0,2.5
2017-02-19 09:48:00,39.59,N,26.03,E,1.0,2.3
2017-02-19 09:37:00,37.57,S,73.79,W,15.0,4.7
2017-02-19 09:37:00,39.55,N,26.17,E,4.0,2.5
